"voter","count"
"osmo123ks9ud5rev9a587z65rmur34hs64h8epq6dgw",4
"osmo123nfq6m8f88m4g3sky570unsnk4zng4uqv7cm8",4
"osmo123r5jtym55mu24seqvj2235pg2mk2pguzddpdt",1
"osmo123u98xsk32ra8xz3fzh9g7yu4ktr4xe7nk086e",1
"osmo124aujfnz2ttutcmlfrr35z3gxr70h5vn38nprg",4
"osmo124f62xv70wr633hs8z8p0euauxq4ztc4s0fey5",3
"osmo124s6kayjppkdcweu9kly5azmu47fse646cku69",3
"osmo124t2wtzh62ul3elhcrjyuyj70xwq78q7t830ye",3
"osmo124t7yuz42u6k4yzve4zhu2ak20upff2u7cg3zm",3
"osmo124tjvtkxns5eqdwmaafh9pedemgzva6ca53acd",4
"osmo124tztqwj5lkf434pq9jjcxykda2mn9648hyh30",2
"osmo124u9z0jp0l05krrke9ncny22g5znfkzv0wtp3h",3
"osmo1253cyvekz2qj7lewgfzxrattzq6u6jyh7q0ead",1
"osmo1254988hlhrpakkxjxd3umsyp85fwufpyy4zgd4",1
"osmo125fdgj30c2jcjc5dqx2xd3j5wrwj8q0r2s88mx",1
"osmo125guhskha4sx4afj9j3k8lp6sg7qtx385zf5mr",2
"osmo125ppe74vkc0uln3x6nd4r20kd5mfsapqtym9fg",1
"osmo125qn6w7t0j6kcjgrvqypnpdnqzu3q3sw98nhan",3
"osmo125tl3umwps4ulsnkuwffqnw8mgadnljlw5ulru",3
"osmo125ujprdwl847xfex5f7qx3a0lqln4x35v5zykk",4
"osmo126230ec2y43dk8u2wdqrssur8l5pgfxtepajw6",3
"osmo126eqnnjxc3w3z9a9sm995pwg659ydq3j5j08f9",2
"osmo126f39e04mc5vzetzcydwr8czvhtk5kepxsp0jm",2
"osmo126fv3e4yheh5c300jwvc7mp2yv5eqsaw2j267k",1
"osmo126k337dmgpnsfaqjgzvtmpta3rgpwq5h88959z",1
"osmo126kv4x70s75mrkvmpvmq5p4prhd9ep6w33qyw2",2
"osmo126rk3ac5z45s3lugtr3gw4gg0wknz3pxpt45tm",1
"osmo126wy4n0hrzrmakf4rkk8prp8ptt49m534srksh",1
"osmo126zvv3fmvpst8v9jy7qgqjs9975qvgalgaxl72",1
"osmo1270am2c8mehes4ezyfupf54ys4fsxgqd52p7t7",2
"osmo12736ed7frh0uxwv2tm29qz8v30fe03kqkc4pkc",4
"osmo1279vql9cz79cwd5hdwfux9pyrxya8zcftuqv75",2
"osmo1279zrl88kuzjz5u8huzmulky9e3akqwaegzcs0",3
"osmo127cz3qd25qefq2d3l8zdl9xqzatskjcq4n5eg2",1
"osmo127f258fpn4n34dn5apgp8yg0kqzaqzsr6zjzsn",2
"osmo127hgjjrst9mngejd4l4wprnnppwl6e22juz3aj",1
"osmo127hzds6lyu6z2w7957m7n4xzx9kyq0wnqexvux",4
"osmo127jdnd23vjedjt6eu7k8phrzvqzy9y4n9v6qe7",4
"osmo127ju3sedue92nrnv28g8dqsrarlgx3weg94yy4",1
